Date,Total Tested (Daily),Total Positive (Daily),Percent Positive (Daily),7 Day Percent Positive
2020-03-04,3,0,0,0
2020-03-05,2,0,0,0
2020-03-06,1,0,0,0
2020-03-07,2,0,0,0
2020-03-08,11,0,0,0
2020-03-09,43,6,0.14,0.097
2020-03-10,81,10,0.123,0.112
2020-03-11,128,4,0.031,0.075
2020-03-12,174,12,0.069,0.073
2020-03-13,410,12,0.029,0.052
2020-03-14,443,19,0.043,0.049
2020-03-15,1064,32,0.03,0.041
2020-03-16,1806,69,0.038,0.038
2020-03-17,1940,74,0.038,0.037
2020-03-18,1672,69,0.041,0.038
2020-03-19,1228,47,0.038,0.038
2020-03-20,1278,56,0.044,0.039
2020-03-21,1259,68,0.054,0.04
2020-03-22,1741,130,0.075,0.047
2020-03-23,721,52,0.072,0.05
2020-03-24,1092,93,0.085,0.057
2020-03-25,1989,145,0.073,0.063
2020-03-26,3027,264,0.087,0.073
2020-03-27,3186,334,0.105,0.083
2020-03-28,2101,220,0.105,0.089
2020-03-29,2208,273,0.124,0.096
2020-03-30,2543,298,0.117,0.101
2020-03-31,2713,381,0.14,0.108
2020-04-01,2945,518,0.176,0.122
2020-04-02,4153,552,0.133,0.13
2020-04-03,3696,487,0.132,0.134
2020-04-04,2994,410,0.137,0.137
2020-04-05,3216,430,0.134,0.138
2020-04-06,2535,370,0.146,0.141
2020-04-07,3215,433,0.135,0.141
2020-04-08,3120,392,0.126,0.134
2020-04-09,3111,424,0.136,0.135
2020-04-10,3049,432,0.142,0.136
2020-04-11,2673,411,0.154,0.138
2020-04-12,2252,374,0.166,0.142
2020-04-13,2502,314,0.125,0.14
2020-04-14,3613,560,0.155,0.143
2020-04-15,4007,678,0.169,0.151
2020-04-16,3877,699,0.18,0.158
2020-04-17,4418,1046,0.237,0.175
2020-04-18,4397,1474,0.335,0.205
2020-04-19,3765,1356,0.36,0.231
2020-04-20,3694,734,0.199,0.236
2020-04-21,3966,502,0.127,0.231
2020-04-22,4924,633,0.129,0.222
2020-04-23,5503,547,0.099,0.205
2020-04-24,5189,517,0.1,0.183
2020-04-25,4197,493,0.117,0.153
2020-04-26,3519,405,0.115,0.124
2020-04-27,5097,541,0.106,0.112
2020-04-28,5391,596,0.111,0.11
2020-04-29,6003,720,0.12,0.109
2020-04-30,7350,831,0.113,0.112
2020-05-01,6520,564,0.087,0.109
2020-05-02,6941,680,0.098,0.106
2020-05-03,5697,539,0.095,0.104
2020-05-04,6820,489,0.072,0.099
2020-05-05,8707,691,0.079,0.094
2020-05-06,8856,662,0.075,0.088
2020-05-07,9858,867,0.088,0.084
2020-05-08,9202,648,0.07,0.082
2020-05-09,8744,601,0.069,0.078
2020-05-10,6775,425,0.063,0.074
2020-05-11,7783,516,0.066,0.074
2020-05-12,10046,560,0.056,0.07
2020-05-13,12083,685,0.057,0.067
2020-05-14,10566,685,0.065,0.063
2020-05-15,11055,699,0.063,0.062
2020-05-16,9922,566,0.057,0.061
2020-05-17,7523,439,0.058,0.06
2020-05-18,9305,516,0.055,0.059
2020-05-19,11572,704,0.061,0.06
2020-05-20,11465,877,0.076,0.063
2020-05-21,9983,697,0.07,0.064
2020-05-22,11533,749,0.065,0.064
2020-05-23,8981,620,0.069,0.065
2020-05-24,8497,512,0.06,0.066
2020-05-25,7620,488,0.064,0.067
2020-05-26,8782,489,0.056,0.066
2020-05-27,12092,668,0.055,0.063
2020-05-28,11784,666,0.057,0.061
2020-05-29,12259,694,0.057,0.059
2020-05-30,11129,491,0.044,0.056
2020-05-31,8830,417,0.047,0.054
2020-06-01,10391,436,0.042,0.051
2020-06-02,12788,584,0.046,0.05
2020-06-03,12405,623,0.05,0.049
2020-06-04,13239,614,0.046,0.048
2020-06-05,11096,431,0.039,0.045
2020-06-06,11089,483,0.044,0.045
2020-06-07,8438,292,0.035,0.044
2020-06-08,9978,300,0.03,0.042
2020-06-09,13184,507,0.038,0.041
2020-06-10,13033,504,0.039,0.039
2020-06-11,11870,535,0.045,0.039
2020-06-12,12568,490,0.039,0.039
