,county,cases,deaths,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,index_right,ALAND,AWATER
0,Autauga,760070,10566.0,31825.655462184877,7611.151260504202,50.21848739495798,2.571428571428572,1.3445378151260503,1328.0,1539602137.0,25706961.0
1,Baldwin,2363042,27922.0,33553.93966480447,8627.226815642458,54.01229050279329,3.2424581005586592,1.5441340782122903,1246.0,4117621645.0,1132980868.0
2,Barbour,307783,4991.0,24882.870370370372,4925.0370370370365,64.46296296296296,2.5185185185185186,1.1111111111111112,1827.0,2292160139.0,50523213.0
3,Bibb,305772,6279.0,29346.05357142857,5849.803571428572,56.16071428571429,2.5357142857142856,1.1607142857142858,3014.0,1612167476.0,9602089.0
4,Blount,745033,10950.0,29977.525,6300.63125,62.73125,2.73125,1.1875,855.0,1670103866.0,15015467.0
5,Bullock,193939,5153.0,11612.0,7271.555555555556,44.444444444444436,1.5555555555555556,1.1111111111111112,1318.0,1613076054.0,6038093.0
6,Butler,326573,12174.0,28747.574468085102,5629.723404255318,51.255319148936174,3.3191489361702127,1.25531914893617,313.0,2012002531.0,2701198.0
7,Calhoun,1574391,26966.0,32609.41968911917,6324.305699481865,48.77720207253886,2.3108808290155443,1.3316062176165804,2191.0,1569195268.0,16587192.0
8,Chambers,482148,15649.0,28963.102040816328,8933.387755102041,56.714285714285715,1.9795918367346936,1.1428571428571428,481.0,1545085607.0,16971700.0
9,Cherokee,236480,5062.0,26877.41666666667,7504.226190476192,49.19047619047619,5.583333333333332,1.0833333333333333,206.0,1433623319.0,120308342.0
10,Chilton,538502,10132.0,32014.83809523809,6627.523809523808,47.88571428571429,2.628571428571429,1.1714285714285717,3107.0,1794477075.0,20592142.0
11,Choctaw,110310,4501.0,28600.38235294117,6034.058823529412,87.91176470588233,2.088235294117647,1.1470588235294117,1415.0,2365869841.0,19144469.0
12,Clarke,438426,5698.0,21541.43396226415,5278.8490566037735,57.24528301886792,2.7169811320754715,1.150943396226415,2058.0,3207494106.0,36657891.0
13,Clay,200543,5646.0,22612.0,7192.0,45.714285714285715,2.5510204081632653,1.1836734693877549,12.0,1564251834.0,5285207.0
14,Cleburne,170446,3415.0,27004.012345679013,5548.271604938272,53.65432098765432,2.1604938271604937,1.1975308641975309,1804.0,1450663786.0,2354896.0
15,Coffee,636197,7263.0,24636.03409090909,6550.727272727273,55.48863636363637,2.261363636363636,1.3863636363636365,3113.0,1758565919.0,3907189.0
16,Colbert,772637,12139.0,41006.242647058825,9377.18382352941,53.411764705882355,2.2205882352941178,1.2573529411764706,247.0,1535202321.0,79700278.0
17,Conecuh,171301,3742.0,35074.575,8787.65,84.775,2.65,1.325,2574.0,2202007855.0,6632046.0
18,Coosa,92574,1917.0,17342.73076923077,5877.576923076923,85.19230769230771,3.4615384615384617,1.1923076923076923,982.0,1685850815.0,39987271.0
19,Covington,531512,10739.0,17737.114285714284,5514.17142857143,70.62857142857143,3.185714285714285,1.1571428571428573,3119.0,2669134207.0,34226200.0
20,Crenshaw,191650,7582.0,14441.763157894737,6056.289473684212,72.21052631578948,4.289473684210527,1.1052631578947372,2137.0,1576952799.0,5388562.0
21,Cullman,1076914,14493.0,32255.719101123595,8043.044943820225,58.10861423220974,3.5730337078651684,1.329588014981273,1449.0,1902970816.0,52525039.0
22,Dale,586405,13731.0,25126.830985915494,7296.232394366198,45.0,3.3450704225352115,1.3028169014084507,1934.0,1453244559.0,4082940.0
23,Dallas,570350,12500.0,34651.77272727273,6139.727272727273,62.06818181818182,2.3181818181818183,1.2272727272727273,1537.0,2534919607.0,39124778.0
